channel_id,call_sign,clean_name,original_name,city_state,city,state,station_num,unique_station_num,gracenote_id,station_id,logo_color,logo_white,Status
PBS_WTVP,WTVP,PBS IL Peoria (WTVP) [47.1],"WTVP, Public Media for Central Illinois","Peoria, IL",Peoria,IL,47.1,260471,28680,41427091-bd65-483d-bdb5-9a4159a5d93e,https://image.pbs.org/stations/wtvp-color-cobranded-logo-977FFXE.png,https://image.pbs.org/stations/wtvp-white-cobranded-logo-XaZfssZ.png,Good
PBS_WILL,WILL,PBS IL Urbana (WILL) [12.1],WILL-TV,"Urbana, IL",Urbana,IL,12.1,260121,48305,11bd36cd-46d5-4c3a-bdc8-ae497a23c712,https://image.pbs.org/stations/will-color-cobranded-logo-q3ksuHa.png,https://image.pbs.org/stations/will-white-cobranded-logo-PDlObhT.png,Good
PBS_WTIU,WTIU,PBS IN Bloomington (WTIU) [30.1],WTIU Public Television,"Bloomington, IN",Bloomington,IN,30.1,270301,35550,4e2e0d20-9a95-4d3d-81a7-25e391d9883e,https://image.pbs.org/stations/wtiu-color-single-brand-logo-wFkvm5m.png,https://image.pbs.org/stations/wtiu-white-single-brand-logo-3GErkZS.png,Good
PBS_WNIN,WNIN,PBS IN Evansville (WNIN) [9.1],WNIN,"Evansville, IN",Evansville,IN,9.1,270091,33419,b7b39443-4f87-4569-85f9-ad0594029964,https://image.pbs.org/stations/wnin-color-cobranded-logo-ohCzizo.png,https://image.pbs.org/stations/wnin-white-cobranded-logo-5MiF4N1.png,Good
PBS_WFWA,WFWA,PBS IN Fort Wayne (WFWA) [39.1],PBS Fort Wayne,"Fort Wayne, IN",Fort Wayne,IN,39.1,270391,43720,3f02e9df-66c8-4f3d-8f51-a76c7255a45d,https://image.pbs.org/stations/wfwa-color-cobranded-logo-Eh9AO96.png,https://image.pbs.org/stations/wfwa-white-cobranded-logo-vasD4qj.png,Good
PBS_WYIN,WYIN,PBS IN Gary (WYIN) [56.1],Lakeshore PBS,"Gary, IN",Gary,IN,56.1,270201,49237,473411db-09f0-4b27-99a9-c15e827ba9c3,https://image.pbs.org/stations/wyin-color-cobranded-logo-TbS5wUb.png,https://image.pbs.org/stations/wyin-white-cobranded-logo-ZXvoJeO.png,Good
PBS_WFYI,WFYI,PBS IN Indianapolis (WFYI) [20.1],WFYI Indianapolis,"Indianapolis, IN",Indianapolis,IN,20.1,270561,33787,046a9b3c-01b4-42b1-b789-83555437476d,https://image.pbs.org/stations/wfyi-color-single-brand-logo-aHBSRNU.png,https://image.pbs.org/stations/wfyi-white-single-brand-logo-t26azTo.png,Good
PBS_WIPB,WIPB,PBS IN Muncie (WIPB) [49.1],Ball State PBS,"Muncie, IN",Muncie,IN,49.1,270491,49131,ab7e7061-dee0-4905-bf2c-5acd1888ace0,https://image.pbs.org/stations/wipb-color-cobranded-logo-oqovSvs.png,https://image.pbs.org/stations/wipb-white-cobranded-logo-VUNYHvX.png,Good
PBS_WNIT,WNIT,PBS IN South Bend (WNIT) [34.1],PBS Michiana,"South Bend, IN",South Bend,IN,34.1,270341,42848,4e7fdf7b-c8dc-4376-8de4-b78ef29edf73,https://image.pbs.org/stations/wnit-color-cobranded-logo-ZYlvuGx.png,https://image.pbs.org/stations/wnit-white-cobranded-logo-szgPgUV.png,Good
PBS_WVUT,WVUT,PBS IN Vincennes (WVUT) [22.1],Vincennes PBS,"Vincennes, IN",Vincennes,IN,22.1,270221,43712,d6e2cccf-df68-47ab-8d8f-2d28ee301ff1,https://image.pbs.org/stations/wvut-color-cobranded-logo-YXSJnLG.png,https://image.pbs.org/stations/wvut-white-cobranded-logo-9rZZAJr.png,Good
